role,sequence,repetition,duty_percent,section,frame_bit_index,body_bit_index,target_bit,position,symbol_index,bit_in_symbol,x_first_i,x_first_q,x_second_i,x_second_q,x_first_abs,x_second_abs,x_delta_i,x_delta_q,x_delta_abs,x_aligned_i,x_aligned_q,x_sync_abs,y_first_i,y_first_q,y_second_i,y_second_q,y_first_abs,y_second_abs,y_delta_i,y_delta_q,y_delta_abs,y_aligned_i,y_aligned_q,y_sync_abs,pooled_aligned_i,pooled_aligned_q,baseline_llr,baseline_bit,sensor_y_llr,sensor_y_abs_llr,sensor_y_bit
historical,5,1,35.0,body,102,86,0,body_86,17,1,-0.0707604852596382,-0.040261768517110615,-0.03271318686178792,-0.01753947629101998,0.08141287538408697,0.03711853746064769,-0.03804729839785028,-0.022722292226090634,0.04431590548982294,-0.5824848402250861,0.19939155968697922,0.07198034225314363,0.9644022460039833,0.608741135757991,-2.0962999026151823,1.3731016831537912,1.1404549366202315,2.5059691765830236,3.0607021486191655,-0.7643605473958002,3.154701996857577,-1.0556176450129935,-0.5874771454206981,2.611334693103259,-1.6381024852380794,-0.3880855857337189,-5.995282250324109,0,-5.479692095118827,5.479692095118827,0
historical,33,4,45.0,body,90,74,0,body_74,14,4,0.0015863452983519899,-0.05969970073665972,-0.13890241173813908,-0.08211066206822738,0.059720773265693174,0.16135687407716523,0.14048875703649108,0.022410961331567662,0.14226504152975616,4.385652258361869,-4.871921597104172,0.021702897158684484,-1.4694610992228974,-1.147995971212951,-1.580967455527475,-0.9428128121164149,1.8647280423832673,1.8407482430055124,0.11150635630457773,-0.20518315909653617,0.23352472304481578,-0.11717492323081342,0.04524848128063474,1.8591537929423685,4.268477335131056,-4.826673115823537,0.04324665001196343,1,-0.25342690863539163,0.25342690863539163,0
historical,35,4,35.0,body,21,5,1,body_05,1,0,-0.182826806559436,-0.050043587457709565,-0.011266016008289796,0.029267300302414784,0.1895521085146743,0.03136077141415323,-0.1715607905511462,-0.07931088776012435,0.18900614215372288,-30.120789368155243,-25.830810540773996,0.0047632742650572995,-0.8478729738526251,-0.22483739040663742,0.34314781659583643,-0.7433552729842202,0.8771775372833944,0.8187352966056455,-1.1910207904484615,0.5185178825775828,1.2989962732176017,1.5833466492234165,0.9074740760115678,0.7117925846423876,-28.53744271893183,-24.92333646476243,0.5046186221159127,1,0.6035868991281632,0.6035868991281632,1
historical,35,4,35.0,body,75,59,0,body_59,11,4,-0.12603583182189482,0.02604005016614373,-0.0730751424644564,0.253673105178535,0.1286977665528514,0.2639886753955947,-0.05296068935743842,-0.22763305501239126,0.23371273467975473,2.317775417499275,-49.01078874221236,0.0047632742650572995,-0.8550400452484868,0.56137906948345,-3.1983940805739293,-0.21492430558125838,1.0228587090271257,3.205607142458342,2.3433540353254427,0.7763033750647084,2.4685937423992823,-1.0904785911263049,-3.2922372700606055,0.7117925846423876,1.22729682637297,-52.303026012272966,-0.10663487528753096,0,-0.4157008774461364,0.4157008774461364,0
historical,19,3,35.0,body,66,50,1,body_50,10,0,-0.03965074198677878,0.12026849560460343,-0.0027678863327330935,-0.0017445073370470762,0.12663606269580802,0.003271773311209341,-0.036882855654045685,0.1220130029416505,0.12746575198082183,4.136308400234635,1.2745009146880872,0.029449994090746633,1.4168238882101871,-1.33461434839018,-1.2309742001860078,2.2175231343115063,1.9464288810876131,2.5362780472042705,2.647798088396195,-3.5521374827016863,4.430408041357908,-2.442841421680215,0.308830045018257,1.7993071570016066,1.6934669785544205,1.5833309597063443,-5.574956960072244,0,-4.8379632840517734,4.8379632840517734,0
historical,11,2,40.0,body,89,73,1,body_73,14,3,0.06376419031789489,0.1362695919314923,-0.08372492586749271,-0.061979134115448684,0.15045023646399547,0.10416945942654174,0.1474891161853876,0.198248726046941,0.24709430744633074,-0.6293407540666887,-3.5112590741405474,0.06926816342252667,-1.7448790775391034,0.8308805004058429,-0.3844153469766328,-1.2760183222938322,1.932605857692762,1.332665718708458,-1.3604637305624707,2.106898822699675,2.5079641566954725,1.9599612769427357,-0.08851999081659948,1.2782957597999707,1.330620522876047,-3.599779064957147,1.789228484147757,1,2.509321062028289,2.509321062028289,1
historical,4,1,40.0,body,30,14,1,body_14,2,4,0.0580289495172098,0.22643092075984644,0.012475402488953185,-0.021137452778466206,0.23374841359509319,0.024544400119442072,0.04555354702825661,0.24756837353831265,0.251724502627895,3.016436866376501,-1.362755060585813,0.07605007099994525,-3.056089286320186,3.0355456458280385,-0.137868493518165,-1.149325723981111,4.3074608638810155,1.15756526438455,-2.9182207928020207,4.18487136980915,5.101878181355408,4.106562324836368,-0.4844850357667031,1.2338150512318824,7.122999191212869,-1.847240096352516,4.1331518894273875,1,3.54378189291885,3.54378189291885,1
historical,29,4,10.0,body,50,34,1,body_34,6,4,0.024323117243528963,0.020679998415401444,-0.1587336904621117,0.06111220092826712,0.031926107919749036,0.17009140363351224,0.18305680770564065,-0.04043220251286568,0.18746881833366658,-4.993110171716509,-2.3044992406033846,0.034089823290726455,0.12925136862874226,-3.535766451899436,1.999339893915183,2.2816744003057687,3.5381280811567475,3.033710282873344,-1.8700885252864408,-5.817440852205205,6.11063410468292,4.563825161251869,3.3354988626851743,1.080994055215013,-0.42928501046463996,1.0309996220817896,3.0924504209562667,1,3.1024798749362317,3.1024798749362317,1
historical,31,4,100.0,body,89,73,0,body_73,14,3,0.03944501506358655,0.06203161034586028,-0.10537891172462534,0.11347816717817148,0.07351074680254044,0.15486125875241818,0.14482392678821188,-0.051446556832311204,0.1536903314468987,-0.47901082391056177,-1.0839819081953794,0.12968525498045402,-0.780485787929544,-3.887352003299136,-3.3174283552130355,3.5595407741482123,3.9649292128250924,4.865764216933977,2.5369425672834915,-7.446892777447348,7.867165285443826,-2.5880762801905783,0.233180127684174,3.027510085412425,-3.06708710410114,-0.8508017805112054,-12.083878861763584,0,-13.103248495040631,13.103248495040631,0
historical,8,1,10.0,body,64,48,1,body_48,9,3,-0.15427681972462098,0.057828665873277466,0.07791753685818828,-0.017206859346749183,0.1647588895963625,0.07979485295823245,-0.23219435658280926,0.07503552522002666,0.24401751837511593,-3.7046630105883795,-1.1194373785520126,0.06305200557891466,1.021905759481889,0.5820639187384996,-0.9153792883904418,-1.4487949946819088,1.1760483777291966,1.7137462409089461,1.9372850478723307,2.0308589134204085,2.806681542841799,7.858332803971317,6.478149598684365,0.27558924715247357,4.153669793382937,5.358712220132353,-1.6175499114572969,0,0.3941905468472757,0.3941905468472757,1
